datetime,conditions,quarter
1/1/2000,Partially cloudy,1
2/1/2000,Clear,1
3/1/2000,Clear,1
4/1/2000,Clear,1
5/1/2000,Clear,1
6/1/2000,Clear,1
7/1/2000,Partially cloudy,1
8/1/2000,Partially cloudy,1
9/1/2000,Partially cloudy,1
10/1/2000,Partially cloudy,1
11/1/2000,Partially cloudy,1
12/1/2000,Partially cloudy,1
13/1/2000,"Rain, Partially cloudy",1
14/1/2000,Partially cloudy,1
15/1/2000,Partially cloudy,1
16/1/2000,"Rain, Partially cloudy",1
17/1/2000,"Rain, Partially cloudy",1
18/1/2000,Partially cloudy,1
19/1/2000,Partially cloudy,1
20/1/2000,Partially cloudy,1
21/1/2000,Partially cloudy,1
22/1/2000,Partially cloudy,1
23/1/2000,Partially cloudy,1
24/1/2000,"Rain, Partially cloudy",1
25/1/2000,"Rain, Partially cloudy",1
26/1/2000,Clear,1
27/1/2000,Clear,1
28/1/2000,Partially cloudy,1
29/1/2000,"Rain, Partially cloudy",1
30/1/2000,"Rain, Partially cloudy",1
31/1/2000,"Rain, Partially cloudy",1
1/2/2000,Partially cloudy,1
2/2/2000,Clear,1
3/2/2000,Clear,1
4/2/2000,Partially cloudy,1
5/2/2000,"Rain, Partially cloudy",1
6/2/2000,Clear,1
7/2/2000,Partially cloudy,1
8/2/2000,Partially cloudy,1
9/2/2000,Partially cloudy,1
10/2/2000,"Rain, Partially cloudy",1
11/2/2000,"Rain, Partially cloudy",1
12/2/2000,"Rain, Partially cloudy",1
13/2/2000,"Rain, Partially cloudy",1
14/2/2000,"Rain, Partially cloudy",1
15/2/2000,Partially cloudy,1
16/2/2000,"Rain, Partially cloudy",1
17/2/2000,Partially cloudy,1
18/2/2000,Partially cloudy,1
19/2/2000,Partially cloudy,1
20/2/2000,"Rain, Partially cloudy",1
21/2/2000,"Rain, Partially cloudy",1
22/2/2000,Partially cloudy,1
23/2/2000,"Rain, Partially cloudy",1
24/2/2000,Partially cloudy,1
25/2/2000,Partially cloudy,1
26/2/2000,Clear,1
27/2/2000,"Rain, Partially cloudy",1
28/2/2000,Partially cloudy,1
29/2/2000,Partially cloudy,1
1/3/2000,Partially cloudy,1
2/3/2000,Partially cloudy,1
3/3/2000,"Rain, Partially cloudy",1
4/3/2000,"Rain, Partially cloudy",1
5/3/2000,"Rain, Partially cloudy",1
6/3/2000,"Rain, Partially cloudy",1
7/3/2000,Partially cloudy,1
8/3/2000,"Rain, Partially cloudy",1
9/3/2000,"Rain, Partially cloudy",1
10/3/2000,Clear,1
11/3/2000,Clear,1
12/3/2000,Partially cloudy,1
13/3/2000,Partially cloudy,1
14/3/2000,Partially cloudy,1
